Id,Id2,Geography,Population Estimate (as of July 1) - 2017
0500000US04011,4011,"Greenlee County, Arizona",9455
0500000US04012,4012,"La Paz County, Arizona",20601
0500000US04013,4013,"Maricopa County, Arizona",4307033
0500000US04015,4015,"Mohave County, Arizona",207200
0500000US04017,4017,"Navajo County, Arizona",108956
0500000US04019,4019,"Pima County, Arizona",1022769
0500000US04021,4021,"Pinal County, Arizona",430237
0500000US04023,4023,"Santa Cruz County, Arizona",46212
0500000US04025,4025,"Yavapai County, Arizona",228168
0500000US04027,4027,"Yuma County, Arizona",207534
0500000US05001,5001,"Arkansas County, Arkansas",17967
0500000US05003,5003,"Ashley County, Arkansas",20283
0500000US05005,5005,"Baxter County, Arkansas",41355
0500000US05007,5007,"Benton County, Arkansas",266300
0500000US05009,5009,"Boone County, Arkansas",37381
0500000US05011,5011,"Bradley County, Arkansas",10864
0500000US05013,5013,"Calhoun County, Arkansas",5247
0500000US05015,5015,"Carroll County, Arkansas",27944
0500000US05017,5017,"Chicot County, Arkansas",10636
0500000US05019,5019,"Clark County, Arkansas",22293
0500000US05021,5021,"Clay County, Arkansas",14920
0500000US05023,5023,"Cleburne County, Arkansas",25048
0500000US05025,5025,"Cleveland County, Arkansas",8202
0500000US05027,5027,"Columbia County, Arkansas",23627
0500000US05029,5029,"Conway County, Arkansas",20916
0500000US05031,5031,"Craighead County, Arkansas",107115
0500000US05033,5033,"Crawford County, Arkansas",62996
0500000US05035,5035,"Crittenden County, Arkansas",48750
0500000US05037,5037,"Cross County, Arkansas",16863
0500000US05039,5039,"Dallas County, Arkansas",7393
0500000US05041,5041,"Desha County, Arkansas",11764
0500000US05043,5043,"Drew County, Arkansas",18547
0500000US05045,5045,"Faulkner County, Arkansas",123654
0500000US05047,5047,"Franklin County, Arkansas",17890
0500000US05049,5049,"Fulton County, Arkansas",12055
0500000US05051,5051,"Garland County, Arkansas",98658
0500000US05053,5053,"Grant County, Arkansas",18165
0500000US05055,5055,"Greene County, Arkansas",45053
0500000US05057,5057,"Hempstead County, Arkansas",21861
0500000US05059,5059,"Hot Spring County, Arkansas",33574
0500000US05061,5061,"Howard County, Arkansas",13478
0500000US05063,5063,"Independence County, Arkansas",37504
0500000US05065,5065,"Izard County, Arkansas",13686
0500000US05067,5067,"Jackson County, Arkansas",17135
0500000US05069,5069,"Jefferson County, Arkansas",69115
0500000US05071,5071,"Johnson County, Arkansas",26552
0500000US05073,5073,"Lafayette County, Arkansas",6862
0500000US05075,5075,"Lawrence County, Arkansas",16525
0500000US05077,5077,"Lee County, Arkansas",9176
0500000US05079,5079,"Lincoln County, Arkansas",13646
0500000US05081,5081,"Little River County, Arkansas",12359
0500000US05083,5083,"Logan County, Arkansas",21722
0500000US05085,5085,"Lonoke County, Arkansas",72898
0500000US05087,5087,"Madison County, Arkansas",16339
0500000US05089,5089,"Marion County, Arkansas",16428
0500000US05091,5091,"Miller County, Arkansas",43984
0500000US05093,5093,"Mississippi County, Arkansas",42159
0500000US05095,5095,"Monroe County, Arkansas",7085
0500000US05097,5097,"Montgomery County, Arkansas",8919
0500000US05099,5099,"Nevada County, Arkansas",8327
0500000US05101,5101,"Newton County, Arkansas",7828
0500000US05103,5103,"Ouachita County, Arkansas",23868
0500000US05105,5105,"Perry County, Arkansas",10348
0500000US05107,5107,"Phillips County, Arkansas",18572
0500000US05109,5109,"Pike County, Arkansas",10726
0500000US05111,5111,"Poinsett County, Arkansas",24154
0500000US05113,5113,"Polk County, Arkansas",20118
0500000US05115,5115,"Pope County, Arkansas",63835
0500000US05117,5117,"Prairie County, Arkansas",8248
0500000US05119,5119,"Pulaski County, Arkansas",393956
0500000US05121,5121,"Randolph County, Arkansas",17557
0500000US05123,5123,"St. Francis County, Arkansas",25930
0500000US05125,5125,"Saline County, Arkansas",119323
0500000US05127,5127,"Scott County, Arkansas",10445
0500000US05129,5129,"Searcy County, Arkansas",7938
0500000US05131,5131,"Sebastian County, Arkansas",128107
0500000US05133,5133,"Sevier County, Arkansas",17115
0500000US05135,5135,"Sharp County, Arkansas",17393
0500000US05137,5137,"Stone County, Arkansas",12537
0500000US05139,5139,"Union County, Arkansas",39449
0500000US05141,5141,"Van Buren County, Arkansas",16506
0500000US05143,5143,"Washington County, Arkansas",231996
0500000US05145,5145,"White County, Arkansas",79016
0500000US05147,5147,"Woodruff County, Arkansas",6571
0500000US05149,5149,"Yell County, Arkansas",21523
0500000US06001,6001,"Alameda County, California",1663190
0500000US06003,6003,"Alpine County, California",1120
0500000US06005,6005,"Amador County, California",38626
0500000US06007,6007,"Butte County, California",229294
0500000US06009,6009,"Calaveras County, California",45670
0500000US06011,6011,"Colusa County, California",21805
0500000US06013,6013,"Contra Costa County, California",1147439
0500000US06015,6015,"Del Norte County, California",27470
0500000US06017,6017,"El Dorado County, California",188987
0500000US06019,6019,"Fresno County, California",989255
0500000US06021,6021,"Glenn County, California",28094
0500000US06023,6023,"Humboldt County, California",136754
0500000US06025,6025,"Imperial County, California",182830
0500000US06027,6027,"Inyo County, California",18026
0500000US06029,6029,"Kern County, California",893119
0500000US06031,6031,"Kings County, California",150101
0500000US06033,6033,"Lake County, California",64246
0500000US06035,6035,"Lassen County, California",31163
0500000US06037,6037,"Los Angeles County, California",10163507
0500000US06039,6039,"Madera County, California",156890
0500000US06041,6041,"Marin County, California",260955
0500000US06043,6043,"Mariposa County, California",17569
0500000US06045,6045,"Mendocino County, California",88018
0500000US06047,6047,"Merced County, California",272673
0500000US06049,6049,"Modoc County, California",8859
0500000US06051,6051,"Mono County, California",14168
0500000US06053,6053,"Monterey County, California",437907
0500000US06055,6055,"Napa County, California",140973
0500000US06057,6057,"Nevada County, California",99814
0500000US06059,6059,"Orange County, California",3190400
0500000US06061,6061,"Placer County, California",386166
0500000US06063,6063,"Plumas County, California",18742
0500000US06065,6065,"Riverside County, California",2423266
0500000US06067,6067,"Sacramento County, California",1530615
0500000US06069,6069,"San Benito County, California",60310
0500000US06071,6071,"San Bernardino County, California",2157404
0500000US06073,6073,"San Diego County, California",3337685
0500000US06075,6075,"San Francisco County, California",884363
0500000US06077,6077,"San Joaquin County, California",745424
0500000US06079,6079,"San Luis Obispo County, California",283405
0500000US06081,6081,"San Mateo County, California",771410
0500000US06083,6083,"Santa Barbara County, California",448150
0500000US06085,6085,"Santa Clara County, California",1938153
0500000US06087,6087,"Santa Cruz County, California",275897
0500000US06089,6089,"Shasta County, California",179921
0500000US06091,6091,"Sierra County, California",2999
0500000US06093,6093,"Siskiyou County, California",43853
0500000US06095,6095,"Solano County, California",445458
0500000US06097,6097,"Sonoma County, California",504217
0500000US06099,6099,"Stanislaus County, California",547899
0500000US06101,6101,"Sutter County, California",96648
0500000US06103,6103,"Tehama County, California",63926
0500000US06105,6105,"Trinity County, California",12709
0500000US06107,6107,"Tulare County, California",464493
0500000US06109,6109,"Tuolumne County, California",54248
0500000US06111,6111,"Ventura County, California",854223
0500000US06113,6113,"Yolo County, California",219116
0500000US06115,6115,"Yuba County, California",77031
0500000US08001,8001,"Adams County, Colorado",503167
0500000US08003,8003,"Alamosa County, Colorado",16551
0500000US08005,8005,"Arapahoe County, Colorado",643052
0500000US08007,8007,"Archuleta County, Colorado",13315
0500000US08009,8009,"Baca County, Colorado",3562
0500000US08011,8011,"Bent County, Colorado",5938
0500000US08013,8013,"Boulder County, Colorado",322514
0500000US08014,8014,"Broomfield County, Colorado",68341
0500000US08015,8015,"Chaffee County, Colorado",19638
0500000US08017,8017,"Cheyenne County, Colorado",1845
0500000US08019,8019,"Clear Creek County, Colorado",9574
0500000US08021,8021,"Conejos County, Colorado",8184
0500000US08023,8023,"Costilla County, Colorado",3776
0500000US08025,8025,"Crowley County, Colorado",5810
0500000US08027,8027,"Custer County, Colorado",4874
0500000US08029,8029,"Delta County, Colorado",30568
0500000US08031,8031,"Denver County, Colorado",704621
0500000US08033,8033,"Dolores County, Colorado",2067
0500000US08035,8035,"Douglas County, Colorado",335299
0500000US08037,8037,"Eagle County, Colorado",54772
0500000US08039,8039,"Elbert County, Colorado",25642
0500000US08041,8041,"El Paso County, Colorado",699232
0500000US08043,8043,"Fremont County, Colorado",47559
0500000US08045,8045,"Garfield County, Colorado",59118
0500000US08047,8047,"Gilpin County, Colorado",6013
0500000US08049,8049,"Grand County, Colorado",15321
0500000US08051,8051,"Gunnison County, Colorado",16939
0500000US08053,8053,"Hinsdale County, Colorado",794
0500000US08055,8055,"Huerfano County, Colorado",6662
0500000US08057,8057,"Jackson County, Colorado",1385
0500000US08059,8059,"Jefferson County, Colorado",574613
0500000US08061,8061,"Kiowa County, Colorado",1376
0500000US08063,8063,"Kit Carson County, Colorado",7158
0500000US08065,8065,"Lake County, Colorado",7778
0500000US08067,8067,"La Plata County, Colorado",55589
0500000US08069,8069,"Larimer County, Colorado",343976
0500000US08071,8071,"Las Animas County, Colorado",14238
0500000US08073,8073,"Lincoln County, Colorado",5546
0500000US08075,8075,"Logan County, Colorado",21896
0500000US08077,8077,"Mesa County, Colorado",151616
0500000US08079,8079,"Mineral County, Colorado",766
0500000US08081,8081,"Moffat County, Colorado",13131
0500000US08083,8083,"Montezuma County, Colorado",26140
0500000US08085,8085,"Montrose County, Colorado",41784
0500000US08087,8087,"Morgan County, Colorado",28192
0500000US08089,8089,"Otero County, Colorado",18326
0500000US08091,8091,"Ouray County, Colorado",4794
0500000US08093,8093,"Park County, Colorado",17905
0500000US08095,8095,"Phillips County, Colorado",4292
0500000US08097,8097,"Pitkin County, Colorado",17890
0500000US08099,8099,"Prowers County, Colorado",12070
0500000US08101,8101,"Pueblo County, Colorado",166475
0500000US08103,8103,"Rio Blanco County, Colorado",6420
0500000US08105,8105,"Rio Grande County, Colorado",11301
0500000US08107,8107,"Routt County, Colorado",25220
0500000US08109,8109,"Saguache County, Colorado",6626
0500000US08111,8111,"San Juan County, Colorado",715
0500000US08113,8113,"San Miguel County, Colorado",7967
0500000US08115,8115,"Sedgwick County, Colorado",2344
0500000US08117,8117,"Summit County, Colorado",30585
0500000US08119,8119,"Teller County, Colorado",24646
0500000US08121,8121,"Washington County, Colorado",4938
0500000US08123,8123,"Weld County, Colorado",304633
0500000US08125,8125,"Yuma County, Colorado",10075
0500000US09001,9001,"Fairfield County, Connecticut",949921
0500000US09003,9003,"Hartford County, Connecticut",895388
0500000US09005,9005,"Litchfield County, Connecticut",182177
0500000US09007,9007,"Middlesex County, Connecticut",163410
0500000US09009,9009,"New Haven County, Connecticut",860435
0500000US09011,9011,"New London County, Connecticut",269033
0500000US09013,9013,"Tolland County, Connecticut",151461
0500000US09015,9015,"Windham County, Connecticut",116359
0500000US10001,10001,"Kent County, Delaware",176824
0500000US10003,10003,"New Castle County, Delaware",559793
0500000US10005,10005,"Sussex County, Delaware",225322
0500000US11001,11001,"District of Columbia, District of Columbia",693972
0500000US12001,12001,"Alachua County, Florida",266944
0500000US12003,12003,"Baker County, Florida",28283
0500000US12005,12005,"Bay County, Florida",183563
0500000US12007,12007,"Bradford County, Florida",27038
0500000US12009,12009,"Brevard County, Florida",589162
0500000US12011,12011,"Broward County, Florida",1935878
0500000US12013,12013,"Calhoun County, Florida",14483
0500000US12015,12015,"Charlotte County, Florida",182033
0500000US12017,12017,"Citrus County, Florida",145647
0500000US12019,12019,"Clay County, Florida",212230
0500000US12021,12021,"Collier County, Florida",372880
0500000US12023,12023,"Columbia County, Florida",69612
0500000US12027,12027,"DeSoto County, Florida",36862
0500000US12029,12029,"Dixie County, Florida",16673
0500000US12031,12031,"Duval County, Florida",937934
0500000US12033,12033,"Escambia County, Florida",313512
0500000US12035,12035,"Flagler County, Florida",110510
0500000US12037,12037,"Franklin County, Florida",11727
0500000US12039,12039,"Gadsden County, Florida",46071
0500000US12041,12041,"Gilchrist County, Florida",17743
0500000US12043,12043,"Glades County, Florida",13754
0500000US12045,12045,"Gulf County, Florida",16160
0500000US12047,12047,"Hamilton County, Florida",14184
0500000US12049,12049,"Hardee County, Florida",27411
0500000US12051,12051,"Hendry County, Florida",40347
0500000US12053,12053,"Hernando County, Florida",186553
0500000US12055,12055,"Highlands County, Florida",102883
0500000US12057,12057,"Hillsborough County, Florida",1408566
0500000US12059,12059,"Holmes County, Florida",19558
0500000US12061,12061,"Indian River County, Florida",154383
0500000US12063,12063,"Jackson County, Florida",48330
0500000US12065,12065,"Jefferson County, Florida",14144
0500000US12067,12067,"Lafayette County, Florida",8451
0500000US12069,12069,"Lake County, Florida",346017
0500000US12071,12071,"Lee County, Florida",739224
0500000US12073,12073,"Leon County, Florida",290292
0500000US12075,12075,"Levy County, Florida",40355
0500000US12077,12077,"Liberty County, Florida",8242
0500000US12079,12079,"Madison County, Florida",18449
0500000US12081,12081,"Manatee County, Florida",385571
0500000US12083,12083,"Marion County, Florida",354353
0500000US12085,12085,"Martin County, Florida",159923
0500000US12086,12086,"Miami-Dade County, Florida",2751796
0500000US12087,12087,"Monroe County, Florida",77013
0500000US12089,12089,"Nassau County, Florida",82721
0500000US12091,12091,"Okaloosa County, Florida",202970
0500000US12093,12093,"Okeechobee County, Florida",41605
0500000US12095,12095,"Orange County, Florida",1348975
0500000US12097,12097,"Osceola County, Florida",352180
0500000US12099,12099,"Palm Beach County, Florida",1471150
0500000US12101,12101,"Pasco County, Florida",525643
0500000US12103,12103,"Pinellas County, Florida",970637
0500000US12105,12105,"Polk County, Florida",686483
0500000US12107,12107,"Putnam County, Florida",73464
0500000US12109,12109,"St. Johns County, Florida",243812
0500000US12111,12111,"St. Lucie County, Florida",313506
0500000US12113,12113,"Santa Rosa County, Florida",174272
0500000US12115,12115,"Sarasota County, Florida",419119
0500000US12117,12117,"Seminole County, Florida",462659
0500000US12119,12119,"Sumter County, Florida",125165
0500000US12121,12121,"Suwannee County, Florida",44190
0500000US12123,12123,"Taylor County, Florida",21833
0500000US12125,12125,"Union County, Florida",15517
0500000US12127,12127,"Volusia County, Florida",538692
0500000US12129,12129,"Wakulla County, Florida",32120
0500000US12131,12131,"Walton County, Florida",68376
0500000US12133,12133,"Washington County, Florida",24567
0500000US13001,13001,"Appling County, Georgia",18521
0500000US13003,13003,"Atkinson County, Georgia",8342
0500000US13005,13005,"Bacon County, Georgia",11319
0500000US13007,13007,"Baker County, Georgia",3200
0500000US13009,13009,"Baldwin County, Georgia",44906
0500000US13011,13011,"Banks County, Georgia",18634
0500000US13013,13013,"Barrow County, Georgia",79061
0500000US13015,13015,"Bartow County, Georgia",105054
0500000US13017,13017,"Ben Hill County, Georgia",16996
0500000US13019,13019,"Berrien County, Georgia",19186
0500000US13021,13021,"Bibb County, Georgia",152862
0500000US13023,13023,"Bleckley County, Georgia",12830
0500000US13025,13025,"Brantley County, Georgia",18731
0500000US13027,13027,"Brooks County, Georgia",15587
0500000US13029,13029,"Bryan County, Georgia",37060
0500000US13031,13031,"Bulloch County, Georgia",76149
0500000US13033,13033,"Burke County, Georgia",22522
0500000US13035,13035,"Butts County, Georgia",24059
0500000US13037,13037,"Calhoun County, Georgia",6455
0500000US13039,13039,"Camden County, Georgia",53044
0500000US13043,13043,"Candler County, Georgia",10797
0500000US13045,13045,"Carroll County, Georgia",117812
0500000US13047,13047,"Catoosa County, Georgia",66550
0500000US13049,13049,"Charlton County, Georgia",12715
0500000US13051,13051,"Chatham County, Georgia",290501
0500000US13053,13053,"Chattahoochee County, Georgia",10343
0500000US13055,13055,"Chattooga County, Georgia",24770
0500000US13057,13057,"Cherokee County, Georgia",247573
0500000US13059,13059,"Clarke County, Georgia",127064
0500000US13061,13061,"Clay County, Georgia",2962
0500000US13063,13063,"Clayton County, Georgia",285153
0500000US13065,13065,"Clinch County, Georgia",6727
0500000US13067,13067,"Cobb County, Georgia",755754
0500000US13069,13069,"Coffee County, Georgia",43014
0500000US13071,13071,"Colquitt County, Georgia",45835
0500000US13073,13073,"Columbia County, Georgia",151579
0500000US13075,13075,"Cook County, Georgia",17277
0500000US13077,13077,"Coweta County, Georgia",143114
0500000US13079,13079,"Crawford County, Georgia",12295
0500000US13081,13081,"Crisp County, Georgia",22736
0500000US13083,13083,"Dade County, Georgia",16285
0500000US13085,13085,"Dawson County, Georgia",24379
0500000US13087,13087,"Decatur County, Georgia",26716
0500000US13089,13089,"DeKalb County, Georgia",753253
0500000US13091,13091,"Dodge County, Georgia",20730
0500000US13093,13093,"Dooly County, Georgia",13737
0500000US13095,13095,"Dougherty County, Georgia",89502
0500000US13097,13097,"Douglas County, Georgia",143882
0500000US13099,13099,"Early County, Georgia",10296
0500000US13101,13101,"Echols County, Georgia",3936
0500000US13103,13103,"Effingham County, Georgia",59982
0500000US13105,13105,"Elbert County, Georgia",19109
0500000US13107,13107,"Emanuel County, Georgia",22530
0500000US13109,13109,"Evans County, Georgia",10775
0500000US13111,13111,"Fannin County, Georgia",25322
0500000US13113,13113,"Fayette County, Georgia",112549
0500000US13115,13115,"Floyd County, Georgia",97613
0500000US13117,13117,"Forsyth County, Georgia",227967
0500000US13119,13119,"Franklin County, Georgia",22820
0500000US13121,13121,"Fulton County, Georgia",1041423
0500000US13123,13123,"Gilmer County, Georgia",30674
0500000US13125,13125,"Glascock County, Georgia",3062
0500000US13127,13127,"Glynn County, Georgia",85282
0500000US13129,13129,"Gordon County, Georgia",57089
0500000US13131,13131,"Grady County, Georgia",24819
0500000US13133,13133,"Greene County, Georgia",17281
0500000US13135,13135,"Gwinnett County, Georgia",920260
0500000US13137,13137,"Habersham County, Georgia",44567
0500000US13139,13139,"Hall County, Georgia",199335
0500000US13141,13141,"Hancock County, Georgia",8561
0500000US13143,13143,"Haralson County, Georgia",29256
0500000US13145,13145,"Harris County, Georgia",33915
0500000US13147,13147,"Hart County, Georgia",25794
0500000US13149,13149,"Heard County, Georgia",11730
0500000US13151,13151,"Henry County, Georgia",225813
0500000US13153,13153,"Houston County, Georgia",153479
0500000US13155,13155,"Irwin County, Georgia",9410
0500000US13157,13157,"Jackson County, Georgia",67519
0500000US13159,13159,"Jasper County, Georgia",13964
0500000US13161,13161,"Jeff Davis County, Georgia",15025
0500000US13163,13163,"Jefferson County, Georgia",15648
0500000US13165,13165,"Jenkins County, Georgia",8767
0500000US13167,13167,"Johnson County, Georgia",9788
0500000US13169,13169,"Jones County, Georgia",28470
0500000US13171,13171,"Lamar County, Georgia",18599
0500000US13173,13173,"Lanier County, Georgia",10425
0500000US13175,13175,"Laurens County, Georgia",47330
0500000US13177,13177,"Lee County, Georgia",29470
0500000US13179,13179,"Liberty County, Georgia",61386
0500000US13181,13181,"Lincoln County, Georgia",7880
0500000US13183,13183,"Long County, Georgia",19014
0500000US13185,13185,"Lowndes County, Georgia",115489
0500000US13187,13187,"Lumpkin County, Georgia",32873
0500000US13189,13189,"McDuffie County, Georgia",21498
0500000US13191,13191,"McIntosh County, Georgia",14106
0500000US13193,13193,"Macon County, Georgia",13314
0500000US13195,13195,"Madison County, Georgia",29302
0500000US13197,13197,"Marion County, Georgia",8450
0500000US13199,13199,"Meriwether County, Georgia",21049
0500000US13201,13201,"Miller County, Georgia",5838
0500000US13205,13205,"Mitchell County, Georgia",22292
0500000US13207,13207,"Monroe County, Georgia",27113
0500000US13209,13209,"Montgomery County, Georgia",9031
0500000US13211,13211,"Morgan County, Georgia",18412
0500000US13213,13213,"Murray County, Georgia",39782
0500000US13215,13215,"Muscogee County, Georgia",194058
0500000US13217,13217,"Newton County, Georgia",108078
0500000US13219,13219,"Oconee County, Georgia",38028
0500000US13221,13221,"Oglethorpe County, Georgia",14877
0500000US13223,13223,"Paulding County, Georgia",159445
0500000US13225,13225,"Peach County, Georgia",27099
0500000US13227,13227,"Pickens County, Georgia",31588
0500000US13229,13229,"Pierce County, Georgia",19307
0500000US13231,13231,"Pike County, Georgia",18217
0500000US13233,13233,"Polk County, Georgia",42085
0500000US13235,13235,"Pulaski County, Georgia",11201
0500000US13237,13237,"Putnam County, Georgia",21730
0500000US13239,13239,"Quitman County, Georgia",2358
0500000US13241,13241,"Rabun County, Georgia",16602
0500000US13243,13243,"Randolph County, Georgia",7075
0500000US13245,13245,"Richmond County, Georgia",201800
0500000US13247,13247,"Rockdale County, Georgia",90312
0500000US13249,13249,"Schley County, Georgia",5213
0500000US13251,13251,"Screven County, Georgia",13953
0500000US13253,13253,"Seminole County, Georgia",8292
0500000US13255,13255,"Spalding County, Georgia",65380
0500000US13257,13257,"Stephens County, Georgia",25890
0500000US13259,13259,"Stewart County, Georgia",5985
0500000US13261,13261,"Sumter County, Georgia",29847
0500000US13263,13263,"Talbot County, Georgia",6249
0500000US13265,13265,"Taliaferro County, Georgia",1628
0500000US13267,13267,"Tattnall County, Georgia",25334
0500000US13269,13269,"Taylor County, Georgia",8142
0500000US13271,13271,"Telfair County, Georgia",15989
0500000US13273,13273,"Terrell County, Georgia",8729
0500000US13275,13275,"Thomas County, Georgia",44779
0500000US13277,13277,"Tift County, Georgia",40598
0500000US13279,13279,"Toombs County, Georgia",26999
0500000US13281,13281,"Towns County, Georgia",11506
0500000US13283,13283,"Treutlen County, Georgia",6740
0500000US13285,13285,"Troup County, Georgia",69786
0500000US13287,13287,"Turner County, Georgia",7961
0500000US13289,13289,"Twiggs County, Georgia",8174
0500000US13291,13291,"Union County, Georgia",23459
0500000US13293,13293,"Upson County, Georgia",26135
0500000US13295,13295,"Walker County, Georgia",68939
0500000US13297,13297,"Walton County, Georgia",91600
0500000US13299,13299,"Ware County, Georgia",35871
0500000US13301,13301,"Warren County, Georgia",5303
0500000US13303,13303,"Washington County, Georgia",20313
0500000US13305,13305,"Wayne County, Georgia",29817
0500000US13307,13307,"Webster County, Georgia",2605
0500000US13309,13309,"Wheeler County, Georgia",7952
0500000US13311,13311,"White County, Georgia",29453
0500000US13313,13313,"Whitfield County, Georgia",104658
0500000US13315,13315,"Wilcox County, Georgia",8800
0500000US13317,13317,"Wilkes County, Georgia",9892
0500000US13319,13319,"Wilkinson County, Georgia",8959
0500000US13321,13321,"Worth County, Georgia",20533
0500000US15001,15001,"Hawaii County, Hawaii",200381
0500000US15003,15003,"Honolulu County, Hawaii",988650
0500000US15005,15005,"Kalawao County, Hawaii",88
0500000US15007,15007,"Kauai County, Hawaii",72159
0500000US15009,15009,"Maui County, Hawaii",166260
0500000US16001,16001,"Ada County, Idaho",456849
0500000US16003,16003,"Adams County, Idaho",4147
0500000US16005,16005,"Bannock County, Idaho",85269
0500000US16007,16007,"Bear Lake County, Idaho",6028
